trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
3088,False,"{'a': 0.001, 'e': 0.0456386652315427}",25,18,13.004015144862063,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3089,False,"{'a': 0.001, 'e': 0.045593049378039235}",20,6,16.23368058654713,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
3090,False,"{'a': 0.001, 'e': 0.04554747911758895}",25,15,16.917057218343583,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3091,False,"{'a': 0.001, 'e': 0.04550195440462157}",20,15,11.287642387316632,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3092,False,"{'a': 0.001, 'e': 0.04545647519361237}",20,3,25.450389319491023,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3093,False,"{'a': 0.001, 'e': 0.04541104143908218}",20,12,16.09388445847821,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3094,False,"{'a': 0.001, 'e': 0.0453656530955972}",25,8,11.877269819136338,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
3095,False,"{'a': 0.001, 'e': 0.04532031011776911}",25,20,10.450428944484567,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3096,False,"{'a': 0.001, 'e': 0.045275012460254886}",30,21,16.200900104742058,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3097,False,"{'a': 0.001, 'e': 0.04522976007775692}",30,12,-46.69513197267765,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
3098,False,"{'a': 0.001, 'e': 0.0451845529250228}",20,8,22.334479277557502,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3099,False,"{'a': 0.001, 'e': 0.04513939095684536}",20,7,20.498475762102924,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3100,False,"{'a': 0.001, 'e': 0.04509427412806263}",20,0,27.157569088190037,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3101,False,"{'a': 0.001, 'e': 0.0450492023935578}",25,17,15.555706968523973,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3102,False,"{'a': 0.001, 'e': 0.045004175708259125}",30,20,17.190082173503026,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3103,False,"{'a': 0.001, 'e': 0.0449591940271399}",20,11,15.261310168804599,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3104,False,"{'a': 0.001, 'e': 0.04491425730521843}",20,11,-15.989142288074266,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
3105,False,"{'a': 0.001, 'e': 0.04486936549755803}",20,3,13.987770255889272,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
3106,False,"{'a': 0.001, 'e': 0.04482451855926687}",20,2,28.72581792279879,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3107,False,"{'a': 0.001, 'e': 0.044779716445498004}",25,11,22.3968406773833,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3108,False,"{'a': 0.001, 'e': 0.04473495911144929}",25,11,11.968059090516006,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
3109,False,"{'a': 0.001, 'e': 0.04469024651236344}",25,11,25.73534343281881,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3110,False,"{'a': 0.001, 'e': 0.04464557860352782}",20,10,19.453020709583452,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3111,False,"{'a': 0.001, 'e': 0.044600955340274535}",30,16,19.479938117240213,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3112,False,"{'a': 0.001, 'e': 0.04455637667798028}",25,11,24.746972196663386,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3113,False,"{'a': 0.001, 'e': 0.04451184257206644}",20,8,4.345989924753989,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
3114,False,"{'a': 0.001, 'e': 0.04446735297799888}",20,10,19.11162304242413,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3115,False,"{'a': 0.001, 'e': 0.044422907851287996}",20,15,9.764421737290387,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3116,False,"{'a': 0.001, 'e': 0.04437850714748865}",20,14,13.08044354752666,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3117,False,"{'a': 0.001, 'e': 0.04433415082220017}",20,13,13.498303471678557,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3118,False,"{'a': 0.001, 'e': 0.044289838831066214}",25,12,23.436943528298087,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3119,False,"{'a': 0.001, 'e': 0.04424557112977477}",30,10,34.56950114017188,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3120,False,"{'a': 0.001, 'e': 0.04420134767405813}",20,13,12.540989588280256,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3121,False,"{'a': 0.001, 'e': 0.04415716841969286}",25,8,32.696613382446415,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3122,False,"{'a': 0.001, 'e': 0.044113033322499696}",30,14,30.111810825286973,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
